CARIMBO DE DATA/HORA,LINK DA CASA,VALOR DA CASA,BAIRRO,VALOR DO IMÓVEL ,NÚMERO DE QUARTOS,NÚMERO DE BANHEIROS,TAMANHO DO TERRENO,TEM EDÍCULA?,ZONA,EDICULA,Preço da area,,,,BAIRROS
6/25/2023 11:09:12,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/24019,500000,Boa Vista,Mais que 400 mil,3,2,440,Sim,CENTRO,1,"R$ 1,136.36",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:09:40,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23589,380000,Boa Vista,350-400 mil,4,2,264,Sim,CENTRO,1,"R$ 1,439.39",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:10:18,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23565,450000,Boa Vista,Mais que 400 mil,2,1,450,Não,CENTRO,0,"R$ 1,000.00",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:11:18,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23380,250000,Boa Vista,Até 250 mil,3,1,368,Não,CENTRO,0,R$ 679.35,,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:12:02,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23379,420000,Boa Vista,Mais que 400 mil,3,2,220,Não,CENTRO,0,"R$ 1,909.09",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:12:40,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23016,2000000,Boa Vista,Mais que 400 mil,4,7,936,Sim,CENTRO,1,"R$ 2,136.75",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:13:13,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22890,330000,Boa Vista,300-350 mil,3,3,242,Não,CENTRO,0,"R$ 1,363.64",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:14:02,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22578,500000,Boa Vista,Mais que 400 mil,2,1,275,Sim,CENTRO,1,"R$ 1,818.18",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:14:33,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22297,360000,Boa Vista,350-400 mil,4,3,341,Sim,CENTRO,1,"R$ 1,055.72",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:15:08,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22230,250000,Boa Vista,Até 250 mil,2,2,242,Sim,CENTRO,1,"R$ 1,033.06",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:15:39,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/20805,280000,Boa Vista,250-300 mil,4,2,242,Sim,CENTRO,1,"R$ 1,157.02",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:17:07,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/20436,170000,Boa Vista,Até 250 mil,2,2,80,Não,CENTRO,0,"R$ 2,125.00",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:17:56,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/20193,480000,Boa Vista,Mais que 400 mil,3,3,242,Não,CENTRO,0,"R$ 1,983.47",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:19:10,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/20044,975000,Boa Vista,Mais que 400 mil,3,3,200,Não,CENTRO,0,"R$ 4,875.00",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:20:34,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/19586,435000,Boa Vista,Mais que 400 mil,3,3,242,Não,CENTRO,0,"R$ 1,797.52",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:21:18,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/19514,850000,Boa Vista,Mais que 400 mil,4,4,330,Não,CENTRO,0,"R$ 2,575.76",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:22:06,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/17785,620000,Boa Vista,Mais que 400 mil,3,4,360,Não,CENTRO,0,"R$ 1,722.22",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:22:42,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/17660,450000,Boa Vista,Mais que 400 mil,4,2,363,Sim,CENTRO,1,"R$ 1,239.67",,,,"Boa Vista, São José do Rio Preto"
